article_url,portal_name,portal_url,headline,published_at,article_author,language,rating_original,claim,claim_author,stated_at
https://correctiv.org/faktencheck/2024/02/28/nein-wer-im-rechteck-unterschreibt-erteilt-keine-generalvollmacht/,correctiv,https://correctiv.org/,"Nein, wer im Rechteck unterschreibt, erteilt keine Generalvollmacht",28.02.2024,Kimberly Nicolaus,de,Falsch,"Wer in einem geschlossenen Rechteck unterschreibe, erteile eine Generalvollmacht. Die Unterschrift dürfe kopiert und anderweitig verwendet werden. Man könne das verhindern, indem man zwei Striche in die diagonal gegenüberliegenden Ecken macht.",Beiträgen in Sozialen Netzwerken,07.02.2024
https://correctiv.org/faktencheck/2022/12/22/notwehr-klimaaktivisten-selbst-von-der-strasse-zu-ziehen-ist-rechtliches-glatteis/,correctiv,https://correctiv.org/,"Notwehr? Klimaaktivisten selbst von der Straße zu ziehen, ist rechtliches Glatteis",22.12.2022,Steffen Kutzner,de,Unbelegt,"Autofahrer dürften Klimaaktivisten selbst von der Straße zerren. Sie müssten nicht auf die Polizei warten. Verletzungen, zum Beispiel an den Handflächen der Klimaaktivisten, seien hinzunehmen und änderten nichts am Notwehrrecht des Autofahrers.",Ralf Höcker,24.11.2022
https://correctiv.org/faktencheck/2024/08/13/digitaler-euro-bsi-richtlinie-belegt-keine-verknuepfung-zu-social-score/,correctiv,https://correctiv.org/,Digitaler Euro: BSI-Richtlinie belegt keine Verknüpfung zu „Social Score“,13.08.2024,Max Bernhard,de,Falsch,"Die technische Richtlinie TR-03179-1 des Bundesamts für Sicherheit in der Informationstechnik (BSI) belege, dass der digitale Euro „programmierbar“ sein werde und Zahlungen somit an einen „Social Score“, einen „Umwelt Score“ oder an Nachweise medizinischer Behandlungen geknüpft werden könnten. Die Zahlungen könnten demnach auch geografischen Beschränkungen unterliegen. Das Geld könne außerdem aus der digitalen Geldbörse zur Kontrolle der Geldmenge eingezogen werden und der Funktionsumfang sei eingeschränkt, wenn Nutzerinnen und Nutzer nicht alle Daten offenlegten.",Beiträgen in Sozialen Netzwerken,13.02.2024
https://correctiv.org/faktencheck/europa/2019/03/21/keine-belege-dafuer-dass-die-cdu-ueber-ein-youtube-verbot-nachdenkt/,correctiv,https://correctiv.org/,"Keine Belege dafür, dass die CDU über ein Youtube-Verbot nachdenkt",21.03.2019,Till Eckert,de,Falsch,"die CDU verfolge einen Plan, „einflussreiche Youtuber“ wie Martin Sellner von der sogenannten Identitären Bewegung „mundtot“ zu machen und wolle die Plattform verbieten",Philosophia Perennis,15.03.2019
https://correctiv.org/faktencheck/2026/05/08/todesfall-nach-drittimpfung-erneut-kursiert-falschmeldung-ueber-seniorenheim-in-oberhausen/,correctiv,https://correctiv.org/,Todesfall nach Drittimpfung? Erneut kursiert Falschmeldung über Seniorenheim in Oberhausen,08.05.2026,Paulina Thom,de,Größtenteils falsch,"In einem Schreiben der Ärztekammer Nordrhein seien schwerwiegende Auswirkungen der Covid-19-Auffrischungsimpfung zugegeben worden. Denn darin heißt es, es habe nach Durchführung von 90 Auffrischungsimpfungen in einem Seniorenheim in Oberhausen einen Todesfall und neun „heftig erkrankte“ Personen gegeben. Zwei davon hätten reanimiert werden müssen.",viralem X-Beitrag,18.05.2026
https://correctiv.org/faktencheck/2021/01/06/kamala-harris-wurde-gegen-covid-19-geimpft-mit-einer-spritze-mit-nadel/,correctiv,https://correctiv.org/,Kamala Harris wurde gegen Covid-19 geimpft – mit einer Spritze mit Nadel,06.01.2021,Steffen Kutzner,de,Falsch,"Kamala Harris sei gar nicht gegen Covid-19 geimpft worden, weil bei der Impfung keine Nadel zu sehen ist.",viraler Facebook-Beitrag,30.12.2020
https://correctiv.org/faktencheck/2025/03/27/afd-im-maerz-2025-bei-51-prozent-in-der-sonntagsfrage-umfrage-ist-erfunden/,correctiv,https://correctiv.org/,AfD im März 2025 bei 51 Prozent in der Sonntagsfrage? Umfrage ist erfunden,27.03.2025,Gabriele Scherndl,de,Falsch,Laut einer Sonntagsfrage zur Bundestagswahl vom 25. März 2025 im Auftrag der IGMN liege die AfD bei 51 Prozent.,Beiträgen in Sozialen Netzwerken,15.01.2025
https://correctiv.org/faktencheck/2026/06/19/csd-dresden-video-fuer-desinformation-ueber-teilnehmendenzahl-genutzt/,correctiv,https://correctiv.org/,CSD Dresden: Video für Desinformation über Teilnehmendenzahl genutzt,19.06.2026,Paulina Thom,de,Größtenteils falsch,"Die Stadt Dresden und Medien hätten für den Christopher Street Day (CSD) 250.000 Teilnehmende gemeldet, doch ein Video vom 5. Juni von dort zeige deutlich weniger Besucher.",Beiträgen in Sozialen Netzwerken,06.06.2026
https://correctiv.org/faktencheck/2022/01/28/video-dieses-kind-starb-nicht-nach-einer-impfung-sondern-durch-einen-bombenangriff-in-syrien/,correctiv,https://correctiv.org/,"Video: Dieses Kind starb nicht nach einer Impfung, sondern durch einen Bombenangriff in Syrien",28.01.2022,Sophie Timmermann,de,Falscher Kontext,"Ein Video zeige einen elfjährigen Jungen, der nach einer „experimentellen Injektion“ gestorben sei.","{ Beiträge in Sozialen Netzwerken, Odysee}",11.01.2022
https://correctiv.org/faktencheck/aus-der-community/2026/06/15/influencer-gefaehrden-babys-mit-warnungen-vor-vitamin-k/,correctiv,https://correctiv.org/,Influencer gefährden Babys mit Warnungen vor Vitamin K,15.06.2026,Faktenforum-Community,de,Irreführend,"Kinder bekämen nach der Geburt eine Spritze mit Vitamin K. Sie enthalte Gallensäure, die Dosierung sei um ein tausendfaches höher als nötig. In den USA enthalte die Vitamin-K-Gabe Benzylalkohol, was zu plötzlichem Kindstod führen könne. Ein Kind brauche kein zusätzliches Vitamin K, wenn die Mutter nicht drogenabhängig sei oder Antiepileptika einnehme.",Beiträgen in Sozialen Netzwerken,15.04.2026
https://correctiv.org/faktencheck/aus-der-community/2025/07/31/gefaelschter-tweet-weite-badeshorts-sind-im-schwimmbad-erlaubt/,correctiv,https://correctiv.org/,Gefälschter Tweet: Weite Badeshorts sind im Schwimmbad erlaubt,31.07.2025,Faktenforum-Community,de,Der angebliche X-Beitrag der Berliner Polizei ist eine Fälschung,"Die Berliner Polizei habe auf X geschrieben, dass ab dem 1. Juli 2025 nur noch enge Badehosen in Berliner Bädern erlaubt seien. Ab dem 1. August solle die Regelung bundesweit gelten.",Tiktok-Beitrag,26.06.2025
https://correctiv.org/faktencheck/2025/02/19/leipzig-pro-russische-accounts-verbreiten-behauptungen-ueber-wahlbetrug/,correctiv,https://correctiv.org/,Leipzig: Pro-russische Accounts verbreiten Wahlbetrugsnarrativ mit Fake-Stimmzetteln ohne AfD darauf,19.02.2025,"{Max Bernhard , Sophie Timmermann}",de,Falsch,Auf Stimmzetteln für den Wahlkreis 151 in Leipzig für die Bundestagswahl 2025 fehle die AfD.,Beiträge in Sozialen Netzwerken,17.02.2025
https://correctiv.org/faktencheck/2023/09/27/angebliche-verdraengung-durch-migration-erneut-gefaelschter-artikel-des-spiegels-in-umlauf/,correctiv,https://correctiv.org/,Erneut gefälschter Spiegel-Artikel über angebliche Verdrängung durch Migration in Umlauf,27.09.2023,Steffen Kutzner,de,Manipuliert,Beim Spiegel sei am 14. August 2023 ein Artikel zur angeblichen Verdrängung Deutscher durch Migranten erschienen.,gefälschter Webseite,14.08.2023
https://correctiv.org/faktencheck/2026/05/20/umgeknicktes-windrad-altes-video-fuer-desinformation-genutzt/,correctiv,https://correctiv.org/,Umgeknicktes Windrad: Altes Video für Desinformation genutzt,20.05.2026,Matthias Bau,de,Größtenteils falsch,"Ein Video zeige ein Windrad, das bei Wind einfach umgefallen sei. Jetzt sei der Boden bis in alle Ewigkeit mit nicht abbaubaren Materialien und Ewigkeitschemikalien verseucht. Das sei ein Sinnbild für die bisher 5,4 Billionen Euro teure Energiewende.","{Beiträgen auf X, Christian Abel}",25.05.2026
https://correctiv.org/faktencheck/2020/01/20/buschbraende-in-australien-keine-belege-dass-mitglieder-einer-gruenen-bewegung-feuer-gelegt-haben/,correctiv,https://correctiv.org/,"Buschbrände in Australien: Keine Belege, dass Mitglieder einer „grünen Bewegung“ Feuer gelegt haben",20.01.2020,Till Eckert,de,Unbelegt,"in Australien seien etwa 180 Menschen wegen Verdacht auf Brandstiftung festgenommen worden, die der „grünen Bewegung“ zugerechnet würden",Facebook-Nutzerin,12.01.2020
https://correctiv.org/faktencheck/2025/11/13/iran-hijab-pflicht-wurde-nicht-aufgehoben/,correctiv,https://correctiv.org/,Iran: Hijab-Pflicht wurde nicht aufgehoben,13.11.2025,Steffen Kutzner,de,Falsch,"Eine Video zeige, wie Frauen im Iran ihre Hijabs verbrennen, nachdem die Pflicht zur Verschleierung gekippt worden sei.",Beiträgen auf X,25.10.2025
https://correctiv.org/faktencheck/2024/02/22/nach-huthi-angriff-dieses-video-zeigt-nicht-das-britische-schiff-rubymar/,correctiv,https://correctiv.org/,Nach Huthi-Angriff: Dieses Video zeigt nicht das britische Schiff Rubymar,22.02.2024,Paulina Thom,de,Falscher Kontext,"Ein Video zeige, wie das britische Schiff Rubymar nach einem Angriff der Huthi sinkt.",Beiträgen in Sozialen Netzwerken,19.02.2024
https://correctiv.org/faktencheck/2026/04/30/keine-neuwahl-in-rheinland-pfalz-youtube-kanal-sammelt-klicks/,correctiv,https://correctiv.org/,Keine Neuwahlen in Rheinland-Pfalz – Youtube-Kanal sammelt Klicks mit bekannter Masche,30.04.2026,Sara Pichireddu,de,Falsch,Die Ergebnisse der Landtagswahl in Rheinland-Pfalz am 22. März 2026 seien ungültig. Es solle Neuwahlen geben.,Youtube-Kanal Servus Deutschland,23.03.2026
https://correctiv.org/faktencheck/2020/07/10/corona-nein-angela-merkel-hat-ursula-von-der-leyen-nicht-kuerzlich-getroffen-ohne-abstand-zu-halten/,correctiv,https://correctiv.org/,"Corona: Nein, Angela Merkel hat Ursula von der Leyen nicht kürzlich getroffen, ohne Abstand zu halten",10.07.2020,Alice Echtermann,de,Falsch,die Kanzlerin halte sich nicht an die Maßnahmen zur Kontaktbeschränkung.,Facebook Beitrag,01.07.2020
https://correctiv.org/faktencheck/2023/09/11/warum-alte-hitze-schlagzeilen-von-1957-1975-und-2022-keinen-klimaschwindel-beweisen/,correctiv,https://correctiv.org/,"Warum alte Hitze-Schlagzeilen von 1957, 1975 und 2022 keinen „Klimaschwindel“ beweisen",11.09.2023,Gabriele Scherndl,de,Falsch,"Eine Collage aus Medienberichten zeige, dass die jemals gemessenen Höchsttemperaturen immer kälter würden: In einem Artikel von 1957 ist von 56 Grad die Rede, in einem Text von 1975 von „40 Grad Hitze“. Die Collage endet mit einem Artikel von 2022 mit der Überschrift: „Temperaturen um die 35 Grad, das hat es früher nicht gegeben“.",Beiträgen in Sozialen Netzwerken,03.08.2023
https://correctiv.org/faktencheck/2022/09/14/vergleiche-internationaler-strompreise-greifen-meist-zu-kurz-deutschland-liegt-aber-tatsaechlich-weit-vorne/,correctiv,https://correctiv.org/,Vergleiche internationaler Strompreise greifen meist zu kurz – Deutschland liegt aber tatsächlich weit vorne,14.09.2022,Paulina Thom,de,Fehlender Kontext,Deutschland habe die höchsten Strompreise der Welt.,viraler Facebook-Beitrag,15.08.2022
https://correctiv.org/faktencheck/2019/03/29/falscher-titel-bei-artikel-ueber-un-studie-zur-erwaermung-der-arktis/,correctiv,https://correctiv.org/,Falscher Titel bei Artikel über UN-Studie zur Erwärmung der Arktis,29.03.2019,Tania Röttger,de,Teilweise falsch,Schmelze nicht mehr zu stoppen – Dramatische UN-Studie: Die Arktis ist ab 2030 im Sommer eisfrei,Focus Online,25.03.2019
https://correctiv.org/faktencheck/2024/09/30/landtagswahl-brandenburg-warum-die-zahlen-im-tv-anfangs-von-angaben-der-landeswahlleitung-abweichen/,correctiv,https://correctiv.org/,Landtagswahl Brandenburg: Warum die Zahlen im TV anfangs von Angaben der Landeswahlleitung abweichen,30.09.2024,Sarah Thust,de,Fehlender Kontext,Die Prognosen in den öffentlich-rechtlichen Medien seien am Wahlabend stark von den Daten in Diagrammen der Landtagswahlleitung in Brandenburg abgewichen.,Beiträgen in Sozialen Netzwerken,22.09.2024
https://correctiv.org/faktencheck/2023/11/09/nein-in-diesem-video-spricht-alice-weidel-nicht-wirklich-arabisch/,correctiv,https://correctiv.org/,"Nein, in diesem Video spricht Alice Weidel nicht wirklich Arabisch",09.11.2023,Gabriele Scherndl,de,Manipuliert,"Ein Video zeige, wie Alice Weidel in einer Pressekonferenz Arabisch spricht.",Beiträgen in Sozialen Netzwerken,06.11.2023
https://correctiv.org/faktencheck/2025/08/08/doch-dieses-foto-von-menschen-an-einer-essensausgabe-in-gaza-ist-echt/,correctiv,https://correctiv.org/,"Doch, dieses Foto von Menschen an einer Essensausgabe in Gaza ist echt",08.08.2025,Kimberly Nicolaus,de,Falsch,"Ein Foto aus Gaza, das Frauen mit Töpfen in den Händen bei einer Essensausgabe zeigt, sei „fake“ und KI-generiert.",Beiträgen in Sozialen Netzwerken,19.07.2025
https://correctiv.org/faktencheck/2024/03/13/welt-reporter-berichtete-aus-israel-roter-zug-im-hintergrund-belegt-keine-aufnahme-aus-deutschland/,correctiv,https://correctiv.org/,Welt-Reporter berichtete aus Israel: Roter Zug im Hintergrund belegt keine Aufnahme aus Deutschland,13.03.2024,Steffen Kutzner,de,Falscher Kontext,"Ein Zug der Deutschen Bahn im Hintergrund eines Videos beweise, dass ein Welt-Reporter nicht aus Israel, sondern aus Deutschland berichte.",viralen Beiträgen in Sozialen Netzwerken,24.02.2024
https://correctiv.org/faktencheck/2025/02/07/maximilian-krah-liegt-mit-behauptung-ueber-strom-aus-windkraftanlagen-falsch/,correctiv,https://correctiv.org/,Maximilian Krah liegt mit Behauptung über Strom aus Windkraftanlagen falsch,07.02.2025,"{Alice Echtermann , Paulina Thom}",de,Falscher Kontext,"Ein Windrad sei am ökonomisch sinnvollsten, wenn es sich nicht drehe, denn dann bekomme man „preiswerten Strom aus Kraftwerken“. Sobald sich das Windrad drehe, müsse man den „instabilen, teuren Strom aus den Windmühlen“ nehmen. ",Maximilian Krah,16.01.2025
https://correctiv.org/faktencheck/2023/04/24/nein-das-eu-parlament-plant-nicht-menschen-aus-unsanierten-haeusern-zu-werfen/,correctiv,https://correctiv.org/,"Nein, das EU-Parlament plant nicht, Menschen aus unsanierten Häusern zu werfen",24.04.2023,Matthias Bau,de,Größtenteils falsch,"35 Millionen Häuser würden in Europa über Nacht wertlos. In spätestens sieben Jahren dürften Häuser und Wohnungen, die nicht dem Mindestenergiestandard F oder E entsprechen, laut neuestem EU-Gesetz nicht mehr bewohnt werden.",Tiktok-Video,05.03.2023
https://correctiv.org/faktencheck/2023/09/19/selenskyj-als-kannibale-artikel-von-deutscher-welle-und-faz-ueber-angebliches-graffiti-in-berlin-gefaelscht/,correctiv,https://correctiv.org/,Selenskyj als Kannibale? Artikel von Deutscher Welle und FAZ über angebliches Graffiti in Berlin gefälscht,19.09.2023,Viktor Marinov,de,Manipuliert,In Berlin sei laut Medienberichten der Deutschen Welle und der Frankfurter Allgemeinen Zeitung an einer Hausfassade ein Graffiti des ukrainischen Präsidenten Wolodymyr Selenskyj aufgetaucht. Die Berliner Polizei suche nach dem Ersteller.,"{Beiträgen auf Facebook, Telegram und X (ehemals Twitter}",13.09.2023
https://correctiv.org/faktencheck/2025/01/23/russische-einflussoperation-verbreitet-fake-artikel-zu-migrationsabkommen-mit-kenia/,correctiv,https://correctiv.org/,Russische Einflussoperation verbreitet Fake-Artikel zu Migrationsabkommen mit Kenia,23.01.2025,"{Sarah Thust , Max Bernhard , Alexej Hock}",de,Falsch,"Deutschland und Kenia hätten ein neues Migrationsabkommen unterzeichnet, wonach bis zu 1,9 Millionen kenianische Arbeitskräfte nach Deutschland kommen sollen.",Beiträgen in Sozialen Netzwerken,19.12.2024
https://correctiv.org/faktencheck/aus-der-community/2025/03/04/irrefuehrende-karte-verbreitet-sich-nach-der-bundestagswahl/,correctiv,https://correctiv.org/,Irreführende Karte verbreitet sich nach der Bundestagswahl,04.03.2025,"{Viktor Marinov , Caroline Lindekamp,  Faktenforum-Community}",de,Falschbehauptungen,"Ein Beitrag auf X behauptete am Nachmittag der Bundestagswahl, dass AfD-Kanzlerkandidatin Alice Weidel in mehr als 150 von 299 Wahlkreisen zur Bundeskanzlerin gewählt worden sei.",X-Beitrag,05.10.2025
https://correctiv.org/faktencheck/aus-der-community/2025/03/26/kritik-an-trumps-umgang-mit-selenskyj-polnischer-ex-praesident-schrieb-offenen-brief/,correctiv,https://correctiv.org/,Kritik an Trumps Umgang mit Selenskyj: polnischer Ex-Präsident schrieb offenen Brief,26.03.2025,"{Anna Süß , Caroline Lindekamp,  Faktenforum-Community}",de,Wahr,Der ehemalige polnische Präsident Lech Wałęsa habe sich einem Brief an den US-Präsidenten zu Selenskyjs Besuch im Oval Office geäußert. Er habe die Unterhaltung mit Angst und Abscheu verfolgt.,Facebook-Beitrag,03.03.2025
https://correctiv.org/faktencheck/2021/12/01/angebliches-tucholsky-gedicht-ueber-impfungen-stammt-von-satire-autor/,correctiv,https://correctiv.org/,Angebliches Tucholsky-Gedicht über Impfungen stammt von Satire-Autor,01.12.2021,Steffen Kutzner,de,Falsch,Kurt Tucholsky habe ein Gedicht über die Diphtherie-Impfung und Impfverweigerer verfasst.,Viraler Twitter-Beitrag,26.11.2021
https://correctiv.org/faktencheck/2024/08/16/kein-rap-fuer-die-afd-video-zeigt-eko-fresh-bei-preisverleihung-2022/,correctiv,https://correctiv.org/,Kein Rap für die AfD: Video zeigt Eko Fresh bei Preisverleihung 2022,16.08.2024,Sarah Thust,de,Falscher Kontext,Video zeige Rapper Eko Fresh beim AfD-Parteitag in Essen.,Beiträgen in Sozialen Netzwerken,30.06.2024
https://correctiv.org/faktencheck/2025/02/17/alte-tabelle-fuehrt-vor-bundestagswahl-in-die-irre-wen-parteien-finanziell-entlasten-wuerden-hat-sich-geaendert/,correctiv,https://correctiv.org/,"Alte Tabelle führt vor Bundestagswahl in die Irre: Wen Parteien finanziell entlasten würden, hat sich geändert",17.02.2025,"{Kimberly Nicolaus , Matthias Bau}",de,Fehlender Kontext,"Eine Tabelle des Leibniz-Zentrum für Europäische Wirtschaftsforschung zeige, wie das verfügbare Jahreseinkommen eines Alleinverdiener-Ehepaars mit zwei Kindern in den unteren Einkommensklassen steigen würde, wenn SPD, Die Linke oder die Grünen gewählt würden. Könnten FDP, CDU/CSU oder AfD ihre Vorhaben umsetzen, würde das verfügbare Jahreseinkommen dieses Beispielhaushalts in den höheren Einkommensklassen steigen.","{SPD-Bundestagsabgeordneter Dirk-Ulrich Mende, Beiträgen in Sozialen Netzwerken}",10.01.2025
https://correctiv.org/faktencheck/2025/02/13/eu-zulassung-mehlwurmpulver-ist-schon-seit-jahren-in-lebensmitteln-erlaubt/,correctiv,https://correctiv.org/,EU-Zulassung: Mehlwurmpulver ist schon seit Jahren in Lebensmitteln erlaubt,13.02.2025,Steffen Kutzner,de,Fehlender Kontext,Ab 10. Februar steckten Mehlwürmer in Brot und Kuchen.,"{AfD-Abgeordnete René Springer und Andreas Bleck, Beiträgen in Sozialen Netzwerken}",05.02.2025
https://correctiv.org/faktencheck/2023/07/18/erfundenes-lauterbach-zitat-ueber-corona-pflichtimpfung-fuer-neugeborene-taucht-wieder-auf/,correctiv,https://correctiv.org/,Erfundenes Lauterbach-Zitat über Corona-Pflichtimpfung für Neugeborene taucht wieder auf,18.07.2023,Gabriele Scherndl,de,Frei erfunden,Bundesgesundheitsminister Karl Lauterbach habe in einem Social-Media-Beitrag eine Corona-Pflichtimpfung für Neugeborene vorgeschlagen.,Twitter-Beitrag,06.07.2023
https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/11/02/nein-die-ehefrau-von-markus-soeder-erwirtschaftete-nicht-242-millionen-euro-mit-masken/,correctiv,https://correctiv.org/,"Nein, die Ehefrau von Markus Söder erwirtschaftete nicht 242 Millionen Euro mit Masken",02.11.2020,Kathrin Wesolowski,de,Falsch,"Die Ehefrau von Markus Söder, Karin Baumüller-Söder, habe einen Umsatz von 242 Millionen Euro gemacht, indem ihr Familienunternehmen Masken herstelle und verkaufe.",Facebook-Nutzer,23.09.2020
https://correctiv.org/faktencheck/europa/2019/04/23/fuenf-millionen-italiener-die-in-armut-leben-irrefuehrende-aussage-von-matteo-salvini/,correctiv,https://correctiv.org/,"„Fünf Millionen Italiener, die in Armut leben“: Irreführende Aussage von Matteo Salvini",23.04.2019,Till Eckert,de,Größtenteils falsch,"Ich habe fünf Millionen Italiener, die in Armut leben. Wenn ich die alle versorgt habe, kümmere ich mich um die Ausländer.",Matteo Salvini,10.04.2019
https://correctiv.org/faktencheck/europa/2019/05/26/keine-belege-dass-die-gruenen-das-rezo-video-in-auftrag-gegeben-haben/,correctiv,https://correctiv.org/,"Keine Belege, dass die Grünen das Rezo-Video in Auftrag gegeben haben",26.05.2019,Cristina Helberg,de,Unbelegt,"es handelt sich gar nicht um einen Vlogger, sondern um ein professionelles Unternehmen, das mit der Überschrift ‘Der Zerfall der CDU’ astreine Themen der Grünen transportiert und damit ein Wahlkampfvideo reinsten Wassers für diese Partei platziert. OHNE dies natürlich als solches zu kennzeichnen.",Webseite Tertium Datur,20.05.2019
https://correctiv.org/faktencheck/justiz/2019/11/07/hamburg-wie-die-seite-truth24-aus-einer-gruppe-unbekannter-eine-angebliche-moslem-bande-macht/,correctiv,https://correctiv.org/,Hamburg: Wie die Seite „Truth24“ aus einer Gruppe Unbekannter eine angebliche „Moslem-Bande“ macht,07.11.2019,Cristina Helberg,de,Teilweise falsch,Moslem- Bande prügelt Mann (20) halbtot – 7 Monate Bewährung!,Truth24,06.01.2019
https://correctiv.org/faktencheck/2021/03/22/niedersachsen-ja-jaeger-duerfen-katzen-schiessen-die-weiter-als-300-meter-von-einem-wohnhaus-entfernt-sind/,correctiv,https://correctiv.org/,"Niedersachsen: Ja, Jäger dürfen Katzen schießen, die weiter als 300 Meter von einem Wohnhaus entfernt sind",22.03.2021,Steffen Kutzner,de,Größtenteils richtig,"Eine geplante Änderung des Jagdgesetzes in Niedersachsen sehe vor, dass Hauskatzen, die sich weiter als 300 Meter vom nächsten Gebäude entfernen, von Jägern geschossen werden dürfen, unabhängig davon, ob sie gewildert haben.",Aktive Tierfreunde,14.03.2021
https://correctiv.org/faktencheck/medizin-und-gesundheit/2018/04/09/nein-die-studie-von-dr-jones-beweist-nicht-dass-chemotherapie-krebspatienten-frueher-sterben-laesst/,correctiv,https://correctiv.org/,"Nein – Die Studie von Dr. Jones beweist nicht, dass Chemotherapie Krebspatienten früher sterben lässt",09.04.2018,Tania Röttger,de,Frei erfunden,Erschreckende Studie: Krebspatienten sterben mit Chemotherapie schneller als ohne Behandlung,Dasperfektehaus.net,
